Ship Mode,Segment,Region,Category,Sub-Category,Sales,Quantity,Discount,order_month,ship_duration,Profit
Second Class,Consumer,South,Furniture,Chairs,245.5,2,0.1,3,4,22.5
Standard Class,Corporate,West,Technology,Phones,899.99,3,0.05,5,3,145.2
First Class,Home Office,East,Office Supplies,Binders,48.2,5,0.2,7,2,6.8
Same Day,Consumer,Central,Technology,Accessories,129.99,4,0,11,0,31.4
Standard Class,Corporate,South,Furniture,Tables,560,2,0.15,9,5,-24
Second Class,Home Office,West,Office Supplies,Storage,210.75,6,0.05,1,3,41.6
First Class,Consumer,East,Technology,Machines,1250,1,0.1,6,1,188.9
Standard Class,Consumer,Central,Office Supplies,Paper,34.8,7,0,8,4,9.7
Second Class,Corporate,South,Furniture,Bookcases,430.4,2,0.18,10,4,12.5
Same Day,Home Office,West,Technology,Copiers,1799,1,0.05,12,0,320
First Class,Corporate,East,Office Supplies,Appliances,310.25,3,0.08,2,2,58.2
Standard Class,Consumer,Central,Furniture,Furnishings,95.6,4,0,4,6,18.1
Second Class,Home Office,South,Technology,Accessories,220.1,5,0.07,3,3,49
First Class,Consumer,West,Office Supplies,Art,67.35,6,0,7,1,14.5
Standard Class,Corporate,East,Furniture,Chairs,320,3,0.12,5,5,36.7
Second Class,Consumer,Central,Technology,Phones,650.75,2,0.05,6,3,102.4
Same Day,Corporate,South,Office Supplies,Labels,24.5,8,0,9,0,7.1
First Class,Home Office,West,Furniture,Tables,720,2,0.2,10,1,-35.5
Standard Class,Consumer,East,Technology,Accessories,155.25,4,0,11,4,38.9
Second Class,Corporate,Central,Office Supplies,Binders,82,9,0.1,12,2,11.3